Name,Regular Price,Sale Price,Rating,Reviews,Size,Description,Category,Alcohol/Vol,Made In,By,Sugar Content,Varietal,Release Date,Lat,Lon,Savings
 Santa Margherita Brut Valdobbiadene Prosecco Superiore,20.95,18.95,4.8,-12,  750 ml bottle ,"We've heard this Prosecco is a celebrity favourite. That's not surprising because it's distinctive, rich and fresh, with vibrant, satisfying bubbles. From the producer of the top-selling white wine at Vintages, this sparkler over-delivers for the price.",White Sparkling Wine,11.50%," Veneto,   Italy ",Santa Margherita,13,Sparkling - Dry,"  April†1,†2022  ",45.6476663,11.8665254,2
 Ruffino Lumina Pinot Grigio IGT,16.05,14.05,4,-7,  750 ml bottle ,"For more than 140 years, Ruffino has been making quality wines for consumers to enjoy. Their rich history is in everything they produce. Pronounced aromas of fresh-cut lemon, gooseberry and a touch of herbs. Vibrant and fresh on the palate, with mineral notes on a clean finish.",White Wine,12%," Veneto,   Italy ",Ruffino Lumina Pinot Grigio Igt,6,Pinot Grigio,,45.6476663,11.8665254,2
 Wolf Blass Yellow Label Cabernet Sauvignon,19.95,16.95,4,-10,  750 ml bottle ,"Attention to detail creates the quality and consistency that Wolf Blass wines are known for. Yellow Label Cab is made with fruit from Australia's Langhorne Creek and McLaren Vale regions. Enjoy flavours of coffee, smoky oak, black plum along with floral and wild honey notes. A superb pairing for roast lamb with rosemary.",Red Wine,14.50%,  Australia ,Wolf Blass,3,Cabernet Sauvignon,,-24.7761086,134.755,3
 Domaine Lafage Miraflors Rose Cotes Du Roussillon AOC,19.95,17.95,5,-3,  750 ml bottle ,"Named after an old estate in the heart of Domaine Lafage. The combination of mourvedre and old vine grenache gris is aged in tank before bottling. The result is a pale salmon colour with an elegant bouquet of roses, strawberry and white peach, leading to a clean and pure palate that ends with crisp, refreshing flavours.",Rose Wine,12.50%," Roussillon,   France ",Domaine Lafage,4,Rose,,45.3735991,4.8124049,2
 Oyster Bay Sauvignon Blanc,21.95,18.95,4.9,-19,  750 ml bottle ,"Popular Oyster Bay hails from the Marlborough region, ground zero for classic New Zealand Sauvignon Blanc. Expect notes of expressive citrus, yellow berries melange and fresh herbs with mineral notes. Pair with sea scallops pan-fried in butter with asparagus on the side.",White Wine,12.50%," Marlborough,   New Zealand ",Oyster Bay,5,Sauvignon Blanc,"  April†1,†2021  ",-36.7846223,174.723989,3
 Freixenet Cordon Negro Brut Cava,17,15,4.2,-19,  750 ml bottle ,"Cava is Spain's famous traditional method sparkler, made in the rolling hills of Pened√®s, southwest of Barcelona. Enjoy lifted aromas and flavours of nuts, toast and citrus with mushroomy yeasty and minerally notes and lively effervescence. Serve with paella, fried calamari, cured meats or Manchego cheese.",White Sparkling Wine,11.50%,  Spain ,Freixenet,10,Cava,,39.3260685,-4.8379791,2
 Mouton Cadet Bordeaux Red AOC,18.95,16.95,4.2,-6,  750 ml bottle ,"From France's leading wine family, a wine that has been the world's introduction to the Bordeaux region since 1930. Merlot is dominant, contributing forward berry fruit. Cabernet sauvignon brings structure and cabernet franc adds elegance and finesse. Serve with pork tenderloin, duck breast or a selection of cheeses.",Red Wine,14%," Bordeaux,   France ",Mouton Cadet,4,Merlot/Cabernet Sauvignon,,44.841225,-0.5800364,2
 Sogrape Gazela Vinho Verde,11,10,4.5,-6,  750 ml bottle ,"Pale yellow straw colour; floral aromas with nuts, fresh herbs and green pear notes; dry, medium bodied, with delicate fresh fruit flavours; bright and refreshing with a spritzy finish.",White Wine,9%," Vinho Verde,   Portugal ",Gazela,15,Vinho Verde,,41.06454465,-8.234845469,1
 Robertson Winery Chenin Blanc,12,11,4.4,-18,  750 ml bottle ,"This wine punches above its weight in the value sector by offering layers of fruit and balanced acid on a medium bodied and refreshing palate. Expect a nose that offers aromas of pear, honey and herbs and a palate that is laden with pear, honey and citrus fruit followed by a fresh finish - perfect for pairing patio side.",White Wine,12.50%," Western Cape,   South Africa ",Robertson Wines,6,Chenin Blanc,,-33.546977,20.72753,1
 Batasiolo Bosc D'la Rei Moscato D'Asti DOCG,19.95,16.95,4.9,-15,  750 ml bottle ,"Pale yellow gold colour; lovely lifted fruity and savory aromas - fresh mushrooms, nutmeg with pear and honeydew melon; medium sweet, slight frizzante; balanced flavours of pear and melon, with medium length finish.",White Wine,5.50%," Piedmont,   Italy ",Batasiolo,128,Moscato,,46.067065,8.378351,3
 Louis Bouillot Perle d'Aurore Brut Rose Cremant de Bourgogne,27.95,25.95,4.5,-4,  750 ml bottle ,"Founded in 1877, Bouillot was one of the first to experiment with the crafting of sparkling Burgundy wine. This blend of Pinot Noir, Gamay and Chardonnay is ever delightful, extra dry with nutty richness, berry, toast and mushrooms. Sip or pair with smoked salmon.",Rose & Red Sparkling Wine,12%," Burgundy,   France ",Louis Bouillot,10,Sparkling - Dry,"  April†1,†2022  ",47.324179,5.043466,2
 Chapoutier Belleruche CdRhone White AOC,18,15,4.2,-6,  750 ml bottle ,"Very pale straw colour with aromas and flavours of grapefruit, pear, honey, red fruit and cantaloupe; bone dry and medium in body.",White Wine,13.50%," Rhone,   France ",M. Chapoutier,2,Grenache Blanc,,45.8802348,4.56453363,3
 Seven Falls Cellars Cabernet Sauvignon,23.95,20.95,4.6,-11,  750 ml bottle ,"The Wahluke Slope is one of the warmest, driest areas in Washington and the conditions are ideal for producing robust, ripe reds with exceptional varietal purity. This Cabernet is approachable and appealing, with generous chocolate, smoky oak, cassis, black plum and cedar. Silky and rich with caressing tannins, it's perfect for lamb, steak or grilled ribs.",Red Wine,14.50%," Washington,   United States ",Seven Falls,5,Cabernet Sauvignon,"  April†1,†2021  ",38.8950368,-77.0365427,3
 Jacob's Creek Moscato,16,13,4.9,-14,  750 ml bottle ,"Since 1847, Jacob's Creek has been one of the leaders in Australia's Barossa Valley. This aromatic, lightly bubbly white wine is brimming with floral and ripe pear aromas, with nutty, berry and citrus notes. Medium sweet, easy-drinking, with citrus, pear and tropical fruit flavours. Sip with fruit salad or light desserts.",White Wine,7.50%," South Australia,   Australia ",Jacob's Creek,68,Moscato,,-30.5343665,135.6301212,3
 The Beachhouse Sauvignon Blanc,13.5,12.5,4,-4,  750 ml bottle ,"Pale straw colour; grass, citrus aromas with light smoky, savory touches; dry, medium body; flavours match the aromas, with balanced, clean finish.",White Wine,12.50%," Western Cape,   South Africa ",The Beachhouse,5,Sauvignon Blanc,,-33.546977,20.72753,1
 Raymond Family Classic Chardonnay,18,16,4.4,-5,  750 ml bottle ,"Pale yellow colour with green highlights; lifted aromas of fresh fig, mineral note, honey and ripe yellow pear; medium bodied and creamy; fig, honey and pear flavours with balanced moderate acidity and long finish.",White Wine,13.50%," California,   United States ",Raymond Classic Wines,6,Chardonnay,,36.7014631,-118.755997,2
 Rosemount Diamond Shiraz,16.95,14.95,4.3,-3,  750 ml bottle ,"Deep purple red; dark rye bread, blood orange and dark berry fruit character with hint of chocolate; mid-framed and bold with a spicy finish.",Red Wine,14.50%," South Australia,   Australia ",Rosemount Wines,4,Shiraz/Syrah,,-30.5343665,135.6301212,2
 Graffigna Pinot Grigio,14.95,12.95,N/A,0,  750 ml bottle ,"Pale straw yellow colour; aromas of citrus, fresh mushrooms, lees and herbs with light floral tones; extra dry, medium bodied, soft with balanced acidity, flavours of citrus, mushrooms and herbs with a nice seam of acidity and good finish.",White Wine,12.50%," San Juan,   Argentina ",Graffigna,2,Pinot Grigio,,-31.5370909,-68.5251802,2
 Lindemans Bin 65 Chardonnay,13,12,4.5,-11,  750 ml bottle ,"Lindeman's is one of Australia's leading wine brands, and the ever-popular Bin 65 remains one of their flagship wines. Enjoy upfront aromas and flavours of tropical fruit, pear and a nicely balanced note of nutty oak. Light to medium bodied, with a fresh, clean finish; a perfect partner for seafood, chicken or pasta.",White Wine,13%,  Australia ,Lindeman's,6,Chardonnay,,-24.7761086,134.755,1
 Frescobaldi Castiglioni Chianti DOCG,18.95,16.95,4,-4,  750 ml bottle ,"Deep ruby colour; floral, licorice, chestnut and plum aromas with hints of fresh rye bread; dry, medium bodied, good spice, chestnut and red plum flavours, supportive tannin, lingering finish.",Red Wine,13%," Tuscany,   Italy ",Frescobaldi,4,Chianti,,43.4586541,11.1389204,2
 Slow Press Cabernet Sauvignon,19,17,3.9,-13,  750 ml bottle ,"Slow Press wines are a tribute to the craft of winemaking. This Cabernet Sauvignon blends fruit from three key California regions. Pour a glass and savour the depth, balance and natural fruit character. Expect bold, dark fruit, cedar and bell pepper flavours and a velvety finish. It's ideal to pair with your BBQ favourites.",Red Wine,13.50%," California,   United States ",Slow Press,2,Cabernet Sauvignon,,36.7014631,-118.755997,2
